Date,buy tesla_unscaled,scale,buy tesla,elon musk_unscaled,scale,elon musk,model 3_unscaled,scale,model 3,model y_unscaled,scale,model y,tsla stock_unscaled,scale,tsla stock,tesla earnings_unscaled,scale,tesla earnings,car market_unscaled,scale,car market,electric vehicles_unscaled,scale,electric vehicles,environment_unscaled,scale,environment,elon musk fraud_unscaled,scale,elon musk fraud,whistleblower_unscaled,scale,whistleblower,union_unscaled,scale,union,tesla debt_unscaled,scale,tesla debt,subsidy_unscaled,scale,subsidy,Open,High,Low,Close,Out
2020-11-26,42,0.51,21.42,54,0.15,8.1,74,0.72,53.28,54,0.61,32.94,15,0.63,9.45,0,0.05,0.0,63,0.54,34.02,41,0.38,15.58,34,0.59,20.06,0.0,0.0,0.0,20,0.04,0.8,54,0.79,42.660000000000004,0,0.21,0.0,7,0.38,2.66,550.0599975585938,574.0,545.3699951171875,574.0,0
2020-11-27,98,0.51,49.980000000000004,55,0.15,8.25,74,0.72,53.28,72,0.61,43.92,42,0.63,26.46,22,0.05,1.1,70,0.54,37.800000000000004,29,0.38,11.02,41,0.59,24.189999999999998,0.0,0.0,0.0,0,0.04,0.0,84,0.79,66.36,0,0.21,0.0,21,0.38,7.98,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625,0
2020-11-28,42,0.51,21.42,46,0.15,6.8999999999999995,60,0.72,43.199999999999996,76,0.61,46.36,14,0.63,8.82,22,0.05,1.1,42,0.54,22.68,29,0.38,11.02,39,0.59,23.009999999999998,0.0,0.0,0.0,7,0.04,0.28,67,0.79,52.93,0,0.21,0.0,14,0.38,5.32,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625,0
2020-11-29,84,0.33,27.720000000000002,34,0.09,3.06,78,0.67,52.260000000000005,100,0.6,60.0,8,0.79,6.32,0,0.04,0.0,63,0.52,32.76,18,0.43,7.74,44,0.85,37.4,0.0,0.48,0.0,10,0.06,0.6,52,0.85,44.199999999999996,0,0.2,0.0,64,0.67,42.88,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625,0
2020-11-30,49,0.33,16.17,33,0.09,2.9699999999999998,75,0.67,50.25,69,0.6,41.4,67,0.79,52.93,39,0.04,1.56,68,0.52,35.36,72,0.43,30.96,80,0.85,68.0,0.0,0.48,0.0,37,0.06,2.2199999999999998,96,0.85,81.6,46,0.2,9.200000000000001,100,0.67,67.0,602.2100219726562,607.7999877929688,554.510009765625,567.5999755859375,1
2020-12-01,18,0.33,5.94,36,0.09,3.2399999999999998,62,0.67,41.54,64,0.6,38.4,62,0.79,48.980000000000004,60,0.04,2.4,81,0.52,42.120000000000005,56,0.43,24.08,75,0.85,63.75,0.0,0.48,0.0,54,0.06,3.2399999999999998,72,0.85,61.199999999999996,0,0.2,0.0,54,0.67,36.18,597.5900268554688,597.8499755859375,572.0499877929688,584.760009765625,1
2020-12-02,45,0.33,14.850000000000001,36,0.09,3.2399999999999998,56,0.67,37.52,48,0.6,28.799999999999997,64,0.79,50.56,0,0.04,0.0,41,0.52,21.32,35,0.43,15.049999999999999,88,0.85,74.8,0.0,0.48,0.0,74,0.06,4.4399999999999995,66,0.85,56.1,48,0.2,9.600000000000001,67,0.67,44.89,556.4400024414062,571.5399780273438,541.2100219726562,568.8200073242188,0
2020-12-03,18,0.33,5.94,45,0.09,4.05,63,0.67,42.21,40,0.6,24.0,61,0.79,48.190000000000005,0,0.04,0.0,27,0.52,14.040000000000001,100,0.43,43.0,88,0.85,74.8,0.0,0.48,0.0,100,0.06,6.0,67,0.85,56.949999999999996,0,0.2,0.0,27,0.67,18.09,590.02001953125,598.969970703125,582.4299926757812,593.3800048828125,0
2020-12-04,32,0.33,10.56,40,0.09,3.5999999999999996,69,0.67,46.230000000000004,45,0.6,27.0,55,0.79,43.45,30,0.04,1.2,96,0.52,49.92,43,0.43,18.49,86,0.85,73.1,100.0,0.48,48.0,20,0.06,1.2,68,0.85,57.8,0,0.2,0.0,68,0.67,45.56,591.010009765625,599.0399780273438,585.5,599.0399780273438,0
2020-12-05,35,0.33,11.55,41,0.09,3.69,63,0.67,42.21,54,0.6,32.4,14,0.79,11.06,100,0.04,4.0,45,0.52,23.400000000000002,47,0.43,20.21,49,0.85,41.65,0.0,0.48,0.0,22,0.06,1.3199999999999998,55,0.85,46.75,54,0.2,10.8,30,0.67,20.1,591.010009765625,599.0399780273438,585.5,599.0399780273438,0
2020-12-06,46,0.53,24.380000000000003,42,0.17,7.140000000000001,100,0.72,72.0,76,0.6,45.6,9,0.86,7.74,34,0.06,2.04,68,0.53,36.04,47,0.38,17.86,52,0.87,45.24,0.0,0.48,0.0,44,0.04,1.76,40,0.79,31.6,54,0.39,21.060000000000002,67,0.68,45.56,591.010009765625,599.0399780273438,585.5,599.0399780273438,0
2020-12-07,45,0.53,23.85,46,0.17,7.82,62,0.72,44.64,41,0.6,24.599999999999998,66,0.86,56.76,60,0.06,3.5999999999999996,54,0.53,28.62,63,0.38,23.94,71,0.87,61.77,0.0,0.48,0.0,29,0.04,1.16,62,0.79,48.980000000000004,0,0.39,0.0,100,0.68,68.0,604.9199829101562,648.7899780273438,603.0499877929688,641.760009765625,0
2020-12-08,100,0.53,53.0,49,0.17,8.33,65,0.72,46.8,54,0.6,32.4,87,0.86,74.82,0,0.06,0.0,61,0.53,32.33,57,0.38,21.66,100,0.87,87.0,0.0,0.48,0.0,44,0.04,1.76,61,0.79,48.190000000000005,0,0.39,0.0,54,0.68,36.720000000000006,625.510009765625,651.280029296875,618.5,649.8800048828125,0
2020-12-09,56,0.53,29.68,100,0.17,17.0,76,0.72,54.72,55,0.6,33.0,71,0.86,61.06,93,0.06,5.58,56,0.53,29.68,58,0.38,22.04,85,0.87,73.95,0.0,0.48,0.0,36,0.04,1.44,60,0.79,47.400000000000006,50,0.39,19.5,48,0.68,32.64,653.6900024414062,654.3200073242188,588.0,604.47998046875,1
2020-12-10,55,0.53,29.150000000000002,85,0.17,14.450000000000001,58,0.72,41.76,36,0.6,21.599999999999998,77,0.86,66.22,61,0.06,3.6599999999999997,69,0.53,36.57,57,0.38,21.66,91,0.87,79.17,0.0,0.48,0.0,40,0.04,1.6,64,0.79,50.56,49,0.39,19.11,41,0.68,27.880000000000003,574.3699951171875,627.75,566.3400268554688,627.0700073242188,0
2020-12-11,56,0.53,29.68,60,0.17,10.200000000000001,75,0.72,54.0,44,0.6,26.4,61,0.86,52.46,62,0.06,3.7199999999999998,35,0.53,18.55,44,0.38,16.72,70,0.87,60.9,0.0,0.48,0.0,51,0.04,2.04,66,0.79,52.14,50,0.39,19.5,76,0.68,51.68000000000001,615.010009765625,624.0,596.7999877929688,609.989990234375,1
2020-12-12,50,0.53,26.5,45,0.17,7.65,81,0.72,58.32,47,0.6,28.2,12,0.86,10.32,0,0.06,0.0,45,0.53,23.85,31,0.38,11.78,40,0.87,34.8,0.0,0.48,0.0,49,0.04,1.96,53,0.79,41.870000000000005,0,0.39,0.0,45,0.68,30.6,615.010009765625,624.0,596.7999877929688,609.989990234375,1
2020-12-13,40,0.44,17.6,49,0.11,5.39,74,0.68,50.32,56,0.65,36.4,12,0.77,9.24,33,0.04,1.32,30,0.6,18.0,0,0.49,0.0,39,0.76,29.64,0.0,0.0,0.0,33,0.04,1.32,39,0.8,31.200000000000003,0,0.81,0.0,67,0.7,46.9,615.010009765625,624.0,596.7999877929688,609.989990234375,1
2020-12-14,37,0.44,16.28,41,0.11,4.51,50,0.68,34.0,45,0.65,29.25,48,0.77,36.96,61,0.04,2.44,55,0.6,33.0,43,0.49,21.07,75,0.76,57.0,0.0,0.0,0.0,5,0.04,0.2,63,0.8,50.400000000000006,49,0.81,39.690000000000005,54,0.7,37.8,619.0,642.75,610.2000122070312,639.8300170898438,0
2020-12-15,23,0.44,10.12,45,0.11,4.95,75,0.68,51.00000000000001,93,0.65,60.45,52,0.77,40.04,31,0.04,1.24,83,0.6,49.8,94,0.49,46.06,82,0.76,62.32,0.0,0.0,0.0,20,0.04,0.8,61,0.8,48.800000000000004,0,0.81,0.0,96,0.7,67.19999999999999,643.280029296875,646.9000244140625,623.7999877929688,633.25,1
2020-12-16,89,0.44,39.160000000000004,42,0.11,4.62,70,0.68,47.6,46,0.65,29.900000000000002,65,0.77,50.050000000000004,0,0.04,0.0,49,0.6,29.4,22,0.49,10.78,75,0.76,57.0,0.0,0.0,0.0,36,0.04,1.44,62,0.8,49.6,50,0.81,40.5,63,0.7,44.099999999999994,628.22998046875,632.5,605.0,622.77001953125,1
2020-12-17,51,0.44,22.44,41,0.11,4.51,56,0.68,38.080000000000005,40,0.65,26.0,49,0.77,37.730000000000004,0,0.04,0.0,35,0.6,21.0,58,0.49,28.419999999999998,77,0.76,58.52,0.0,0.0,0.0,30,0.04,1.2,63,0.8,50.400000000000006,100,0.81,81.0,55,0.7,38.5,628.1900024414062,658.8200073242188,619.5,655.9000244140625,0
2020-12-18,79,0.44,34.76,45,0.11,4.95,71,0.68,48.28,48,0.65,31.200000000000003,100,0.77,77.0,0,0.04,0.0,96,0.6,57.599999999999994,54,0.49,26.46,72,0.76,54.72,0.0,0.0,0.0,32,0.04,1.28,73,0.8,58.400000000000006,53,0.81,42.93,58,0.7,40.599999999999994,668.9000244140625,695.0,628.5399780273438,695.0,0
2020-12-19,68,0.44,29.92,44,0.11,4.84,85,0.68,57.800000000000004,62,0.65,40.300000000000004,16,0.77,12.32,0,0.04,0.0,55,0.6,33.0,41,0.49,20.09,42,0.76,31.92,0.0,0.0,0.0,29,0.04,1.16,55,0.8,44.0,0,0.81,0.0,31,0.7,21.7,668.9000244140625,695.0,628.5399780273438,695.0,0
2020-12-20,72,0.4,28.8,47,0.12,5.64,69,0.81,55.89,73,0.66,48.18,16,0.67,10.72,0,0.05,0.0,38,0.48,18.24,40,0.45,18.0,22,0.4,8.8,0.0,0.0,0.0,61,0.04,2.44,37,0.75,27.75,0,0.44,0.0,45,0.37,16.65,668.9000244140625,695.0,628.5399780273438,695.0,0
2020-12-21,53,0.4,21.200000000000003,47,0.12,5.64,71,0.81,57.510000000000005,30,0.66,19.8,80,0.67,53.6,32,0.05,1.6,29,0.48,13.92,37,0.45,16.650000000000002,45,0.4,18.0,0.0,0.0,0.0,26,0.04,1.04,63,0.75,47.25,0,0.44,0.0,35,0.37,12.95,666.239990234375,668.5,646.0700073242188,649.8599853515625,1
2020-12-22,58,0.4,23.200000000000003,36,0.12,4.32,92,0.81,74.52000000000001,31,0.66,20.46,81,0.67,54.27,96,0.05,4.800000000000001,36,0.48,17.28,15,0.45,6.75,50,0.4,20.0,0.0,0.0,0.0,5,0.04,0.2,64,0.75,48.0,0,0.44,0.0,50,0.37,18.5,648.0,649.8800048828125,614.22998046875,640.3400268554688,1
2020-12-23,20,0.4,8.0,39,0.12,4.68,85,0.81,68.85000000000001,64,0.66,42.24,70,0.67,46.900000000000006,34,0.05,1.7000000000000002,61,0.48,29.279999999999998,32,0.45,14.4,45,0.4,18.0,0.0,0.0,0.0,61,0.04,2.44,70,0.75,52.5,0,0.44,0.0,30,0.37,11.1,632.2000122070312,651.5,622.5700073242188,645.97998046875,0
2020-12-24,42,0.4,16.8,40,0.12,4.8,82,0.81,66.42,50,0.66,33.0,47,0.67,31.490000000000002,35,0.05,1.75,71,0.48,34.08,24,0.45,10.8,24,0.4,9.600000000000001,0.0,0.0,0.0,23,0.04,0.92,67,0.75,50.25,0,0.44,0.0,39,0.37,14.43,642.989990234375,666.0900268554688,641.0,661.77001953125,0
2020-12-25,23,0.4,9.200000000000001,37,0.12,4.4399999999999995,62,0.81,50.220000000000006,59,0.66,38.940000000000005,11,0.67,7.37,0,0.05,0.0,9,0.48,4.32,63,0.45,28.35,19,0.4,7.6000000000000005,0.0,0.0,0.0,19,0.04,0.76,34,0.75,25.5,0,0.44,0.0,17,0.37,6.29,642.989990234375,666.0900268554688,641.0,661.77001953125,0
2020-12-26,38,0.4,15.200000000000001,38,0.12,4.56,86,0.81,69.66000000000001,56,0.66,36.96,6,0.67,4.0200000000000005,72,0.05,3.6,89,0.48,42.72,34,0.45,15.3,25,0.4,10.0,0.0,0.0,0.0,36,0.04,1.44,48,0.75,36.0,0,0.44,0.0,16,0.37,5.92,642.989990234375,666.0900268554688,641.0,661.77001953125,0
2020-12-27,31,0.39,12.09,37,0.1,3.7,98,0.89,87.22,100,0.86,86.0,6,0.53,3.18,34,0.06,2.04,54,0.44,23.76,16,0.37,5.92,21,0.33,6.930000000000001,0.0,0.0,0.0,62,0.04,2.48,37,0.98,36.26,0,0.41,0.0,8,0.29,2.32,642.989990234375,666.0900268554688,641.0,661.77001953125,0
2020-12-28,57,0.39,22.23,24,0.1,2.4000000000000004,86,0.89,76.54,81,0.86,69.66,44,0.53,23.32,63,0.06,3.78,64,0.44,28.16,59,0.37,21.83,34,0.33,11.22,0.0,0.0,0.0,41,0.04,1.6400000000000001,64,0.98,62.72,0,0.41,0.0,14,0.29,4.06,674.510009765625,681.4000244140625,660.7999877929688,663.6900024414062,1
2020-12-29,58,0.39,22.62,37,0.1,3.7,87,0.89,77.43,59,0.86,50.74,58,0.53,30.740000000000002,64,0.06,3.84,36,0.44,15.84,90,0.37,33.3,37,0.33,12.21,0.0,0.0,0.0,26,0.04,1.04,67,0.98,65.66,0,0.41,0.0,36,0.29,10.44,661.0,669.9000244140625,655.0,665.989990234375,0
2020-12-30,38,0.39,14.82,37,0.1,3.7,80,0.89,71.2,73,0.86,62.78,55,0.53,29.150000000000002,95,0.06,5.7,100,0.44,44.0,52,0.37,19.24,46,0.33,15.180000000000001,0.0,0.0,0.0,31,0.04,1.24,100,0.98,98.0,0,0.41,0.0,14,0.29,4.06,672.0,696.5999755859375,668.3599853515625,694.780029296875,0
2020-12-31,81,0.39,31.59,38,0.1,3.8000000000000003,69,0.89,61.410000000000004,64,0.86,55.04,64,0.53,33.92,95,0.06,5.7,57,0.44,25.080000000000002,67,0.37,24.79,28,0.33,9.24,0.0,0.0,0.0,42,0.04,1.68,97,0.98,95.06,51,0.41,20.91,35,0.29,10.149999999999999,699.989990234375,718.719970703125,691.1199951171875,705.6699829101562,0
2021-01-01,28,0.39,10.92,14,0.1,1.4000000000000001,77,0.89,68.53,61,0.86,52.46,10,0.53,5.300000000000001,1,0.06,0.06,68,0.44,29.92,15,0.37,5.55,26,0.33,8.58,0.0,0.0,0.0,20,0.04,0.8,68,0.98,66.64,0,0.41,0.0,32,0.29,9.28,699.989990234375,718.719970703125,691.1199951171875,705.6699829101562,0
2021-01-02,33,0.39,12.870000000000001,15,0.1,1.5,80,0.89,71.2,60,0.86,51.6,10,0.53,5.300000000000001,0,0.06,0.0,74,0.44,32.56,14,0.37,5.18,30,0.33,9.9,0.0,0.0,0.0,40,0.04,1.6,74,0.98,72.52,0,0.41,0.0,31,0.29,8.99,699.989990234375,718.719970703125,691.1199951171875,705.6699829101562,0
2021-01-03,28,0.72,20.16,12,0.39,4.68,78,0.8,62.400000000000006,37,0.81,29.970000000000002,8,0.96,7.68,1,0.14,0.14,61,0.41,25.009999999999998,29,0.41,11.889999999999999,34,0.58,19.72,0.0,0.0,0.0,82,0.04,3.2800000000000002,49,0.92,45.080000000000005,0,0.58,0.0,32,0.47,15.04,699.989990234375,718.719970703125,691.1199951171875,705.6699829101562,0
2021-01-04,25,0.72,18.0,9,0.39,3.5100000000000002,47,0.8,37.6,46,0.81,37.260000000000005,58,0.96,55.68,1,0.14,0.14,50,0.41,20.5,7,0.41,2.8699999999999997,54,0.58,31.319999999999997,0.0,0.0,0.0,18,0.04,0.72,100,0.92,92.0,0,0.58,0.0,72,0.47,33.839999999999996,719.4600219726562,744.489990234375,717.1900024414062,729.77001953125,0
2021-01-05,17,0.72,12.24,11,0.39,4.29,65,0.8,52.0,40,0.81,32.400000000000006,46,0.96,44.16,2,0.14,0.28,31,0.41,12.709999999999999,37,0.41,15.17,70,0.58,40.599999999999994,0.0,0.0,0.0,37,0.04,1.48,83,0.92,76.36,0,0.58,0.0,43,0.47,20.209999999999997,723.6599731445312,740.8400268554688,719.2000122070312,735.1099853515625,0
2021-01-06,43,0.72,30.959999999999997,10,0.39,3.9000000000000004,44,0.8,35.2,44,0.81,35.64,56,0.96,53.76,4,0.14,0.56,30,0.41,12.299999999999999,19,0.41,7.789999999999999,73,0.58,42.339999999999996,0.0,0.0,0.0,44,0.04,1.76,71,0.92,65.32000000000001,0,0.58,0.0,35,0.47,16.45,758.489990234375,774.0,749.0999755859375,755.97998046875,1
2021-01-07,55,0.72,39.6,83,0.39,32.370000000000005,70,0.8,56.0,41,0.81,33.21,78,0.96,74.88,6,0.14,0.8400000000000001,85,0.41,34.85,26,0.41,10.66,77,0.58,44.66,0.0,0.0,0.0,46,0.04,1.84,70,0.92,64.4,49,0.58,28.419999999999998,43,0.47,20.209999999999997,777.6300048828125,816.989990234375,775.2000122070312,816.0399780273438,0
2021-01-08,100,0.72,72.0,100,0.39,39.0,79,0.8,63.2,89,0.81,72.09,100,0.96,96.0,7,0.14,0.9800000000000001,49,0.41,20.09,3,0.41,1.23,70,0.58,40.599999999999994,0.0,0.0,0.0,55,0.04,2.2,82,0.92,75.44,49,0.58,28.419999999999998,43,0.47,20.209999999999997,856.0,884.489990234375,838.3900146484375,880.02001953125,0
2021-01-09,61,0.72,43.92,54,0.39,21.060000000000002,62,0.8,49.6,100,0.81,81.0,26,0.96,24.96,3,0.14,0.42000000000000004,40,0.41,16.4,32,0.41,13.12,41,0.58,23.779999999999998,0.0,0.0,0.0,80,0.04,3.2,60,0.92,55.2,54,0.58,31.319999999999997,39,0.47,18.33,856.0,884.489990234375,838.3900146484375,880.02001953125,0
